# NumberResearch.org area code dataset. License CC BY 4.0. Underlying data: NANPA (nanpa.com), file date 09/17/2026. Retrieved via numberresearch.org/datasets
npa,kind,status,country,region,in_service_date,parent_npa,dialing_pattern
200,non_geographic,unassigned,,,,,
201,geographic,in_service,US,NJ,1947-01-01,,10D
202,geographic,in_service,US,DC,1947-01-01,,10D
203,geographic,in_service,US,CT,1947-01-01,,10D
204,geographic,in_service,CANADA,MANITOBA,1947-01-01,,10D
205,geographic,in_service,US,AL,1947-01-01,,10D
206,geographic,in_service,US,WA,1947-01-01,,10D
207,geographic,in_service,US,ME,1947-01-01,,7D
208,geographic,in_service,US,ID,1947-01-01,,10D
209,geographic,in_service,US,CA,1958-01-01,415,1+10D
210,geographic,in_service,US,TX,1992-11-01,512,10D
211,non_geographic,not_assignable,,,,,
212,geographic,in_service,US,NY,1947-01-01,,1+10D
213,geographic,in_service,US,CA,1947-01-01,,1+10D
214,geographic,in_service,US,TX,1947-01-01,,10D
215,geographic,in_service,US,PA,1947-01-01,,10D
216,geographic,in_service,US,OH,1947-01-01,,7D
217,geographic,in_service,US,IL,1947-01-01,,10D
218,geographic,in_service,US,MN,1947-01-01,,10D
219,geographic,in_service,US,IN,1948-01-01,,10D
220,geographic,in_service,US,OH,2015-04-22,740,10D
221,geographic,unassigned,,,,,
222,non_geographic,unassigned,,,,,
223,geographic,in_service,US,PA,2017-09-26,717,10D
224,geographic,in_service,US,IL,2002-01-05,847,1+10D
225,geographic,in_service,US,LA,1998-08-17,504,7D
226,geographic,in_service,CANADA,ONTARIO,2006-10-21,519,10D
227,geographic,in_service,US,MD,2023-06-14,301,10D
228,geographic,in_service,US,MS,1997-09-15,601,7D
229,geographic,in_service,US,GA,2000-08-01,912,7D
230,geographic,unassigned,,,,,
231,geographic,in_service,US,MI,1999-06-05,616,7D
232,geographic,reserved,,,,,
233,non_geographic,unassigned,,,,,
234,geographic,in_service,US,OH,2000-10-30,330,10D
235,geographic,in_service,US,MO,2024-03-24,573,10D
236,geographic,in_service,CANADA,BRITISH COLUMBIA,2013-06-01,604,10D
237,geographic,reserved,,,,,
238,geographic,unassigned,,,,,
239,geographic,in_service,US,FL,2002-03-11,941,7D
240,geographic,in_service,US,MD,1997-06-01,301,10D
241,geographic,unassigned,,,,,
242,geographic,in_service,BAHAMAS,BAHAMAS,1996-10-01,809,7D
243,geographic,unassigned,,,,,
244,non_geographic,unassigned,,,,,
245,geographic,reserved,,,,,
246,geographic,in_service,BARBADOS,BARBADOS,1996-07-01,809,7D
247,geographic,unassigned,,,,,
248,geographic,in_service,US,MI,1997-05-10,810,10D
249,geographic,in_service,CANADA,ONTARIO,2011-03-19,705,10D
250,geographic,in_service,CANADA,BRITISH COLUMBIA,1996-10-19,604,10D
251,geographic,in_service,US,AL,2001-06-18,334,10D
252,geographic,in_service,US,NC,1998-03-22,919,7D
253,geographic,in_service,US,WA,1997-04-27,206,10D
254,geographic,in_service,US,TX,1997-05-25,817,10D
255,non_geographic,unassigned,,,,,
256,geographic,in_service,US,AL,1998-03-23,205,10D
257,geographic,in_service,CANADA,BRITISH COLUMBIA,2025-05-24,604,10D
258,geographic,unassigned,,,,,
259,geographic,unassigned,,,,,
260,geographic,in_service,US,IN,2002-01-15,219,7D
261,geographic,reserved,,,,,
262,geographic,in_service,US,WI,1999-09-25,414,10D
263,geographic,in_service,CANADA,QUEBEC,2022-10-22,514,10D
264,geographic,in_service,ANGUILLA,ANGUILLA,1997-03-31,809,7D
265,geographic,reserved,,,,,
266,non_geographic,unassigned,,,,,
267,geographic,in_service,US,PA,1999-07-01,215,10D
268,geographic,in_service,ANTIGUA/BARBUDA,ANTIGUA/BARBUDA,1996-04-01,809,7D
269,geographic,in_service,US,MI,2002-07-13,616,7D
270,geographic,in_service,US,KY,1999-04-19,502,10D
271,geographic,unassigned,,,,,
272,geographic,in_service,US,PA,2013-10-21,570,10D
273,geographic,planned,CANADA,QUEBEC,2027-02-27,418,10D
274,geographic,in_service,US,WI,2023-05-05,920,10D
275,geographic,unassigned,,,,,
276,geographic,in_service,US,VA,2001-09-01,540,10D
277,non_geographic,unassigned,,,,,
278,geographic,reserved,,,,,
279,geographic,in_service,US,CA,2018-03-10,916,1+10D
280,geographic,reserved,,,,,
281,geographic,in_service,US,TX,1996-11-02,713,10D
282,geographic,unassigned,,,,,
283,geographic,in_service,US,OH,2023-04-28,513,10D
284,geographic,in_service,BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS,1997-10-01,809,7D
285,geographic,unassigned,,,,,
286,geographic,unassigned,,,,,
287,geographic,reserved,,,,,
288,non_geographic,unassigned,,,,,
289,geographic,in_service,CANADA,ONTARIO,2001-06-09,905,10D
290,non_geographic,reserved,,,,,
291,non_geographic,reserved,,,,,
292,non_geographic,reserved,,,,,
293,non_geographic,reserved,,,,,
294,non_geographic,reserved,,,,,
295,non_geographic,reserved,,,,,
296,non_geographic,reserved,,,,,
297,non_geographic,reserved,,,,,
298,non_geographic,reserved,,,,,
299,non_geographic,reserved,,,,,
300,non_geographic,unassigned,,,,,
